YEAR_MONTH,SIDO,TARGET_COUNT,TEMP_AVG,TEMP_MAX,HUMIDITY,RAIN,THI,CPI_AGRI,CPI_TOTAL,RESTAURANT_DENSITY,VIOLATION_RATE,TARGET
2024-08,전라남도,1.0,28.00284233340596,39.3,78.95452126210162,83.61752577319588,79.53516619543673,123.15,114.54,37127,0.026934575915102215,0
2024-08,세종특별자치시,0.0,28.00284233340596,39.3,78.95452126210162,83.61752577319588,79.53516619543673,123.15,114.54,4829,0.0,0
2024-09,대전광역시,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,23164,0.0,0
2024-09,강원특별자치도,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,43926,0.0,0
2024-09,대구광역시,3.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,37976,0.07899726142827049,0
2024-09,제주특별자치도,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,24251,0.0,0
2024-09,울산광역시,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,19964,0.0,0
2024-09,경상남도,3.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,67454,0.04447475316511993,0
2024-09,경기도,5.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,183285,0.027279919251439015,0
2024-09,부산광역시,7.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,55922,0.12517434998748259,0
2024-09,인천광역시,2.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,41726,0.04793174519484254,0
2024-09,서울특별시,13.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,138619,0.09378223764419019,0
2024-09,광주광역시,8.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,22065,0.3625651484251076,1
2024-09,경상북도,1.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,54980,0.018188432157148056,0
2024-09,충청남도,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,42097,0.0,0
2024-09,충청북도,6.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,31440,0.19083969465648853,1
2024-09,전북특별자치도,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,31373,0.0,0
2024-09,전라남도,3.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,37127,0.08080372774530666,0
2024-09,세종특별자치시,0.0,24.811221116246,37.7,79.92761676231105,249.7618556701031,74.58121856449478,126.65,114.65,4829,0.0,0
2024-10,대전광역시,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,23164,0.0,0
2024-10,강원특별자치도,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,43926,0.0,0
2024-10,대구광역시,2.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,37976,0.052664840952180325,0
2024-10,제주특별자치도,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,24251,0.0,0
2024-10,울산광역시,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,19964,0.0,0
2024-10,경상남도,1.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,67454,0.014824917721706644,0
2024-10,경기도,11.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,183285,0.06001582235316583,0
2024-10,부산광역시,6.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,55922,0.10729229998927077,0
2024-10,인천광역시,1.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,41726,0.02396587259742127,0
2024-10,서울특별시,14.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,138619,0.10099625592451252,0
2024-10,광주광역시,1.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,22065,0.04532064355313845,0
2024-10,경상북도,4.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,54980,0.07275372862859222,0
2024-10,충청남도,1.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,42097,0.02375466185238853,0
2024-10,충청북도,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,31440,0.0,0
2024-10,전북특별자치도,1.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,31373,0.031874541803461574,0
2024-10,전라남도,6.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,37127,0.1616074554906133,0
2024-10,세종특별자치시,0.0,16.42098436980379,31.3,79.39822857776299,119.25876288659794,61.13916856106862,125.27,114.69,4829,0.0,0
2024-11,대전광역시,5.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,23164,0.21585218442410636,1
2024-11,강원특별자치도,1.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,43926,0.02276556026043801,0
2024-11,대구광역시,1.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,37976,0.026332420476090163,0
2024-11,제주특별자치도,0.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,24251,0.0,0
2024-11,울산광역시,0.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,19964,0.0,0
2024-11,경상남도,9.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,67454,0.13342425949535983,0
2024-11,경기도,13.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,183285,0.07092779005374145,0
2024-11,부산광역시,19.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,55922,0.33975894996602407,1
2024-11,인천광역시,76.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,41726,1.8214063174040167,1
2024-11,서울특별시,5.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,138619,0.03607009140161161,0
2024-11,광주광역시,1.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,22065,0.04532064355313845,0
