YEAR_MONTH,SIDO,TARGET_COUNT,RESTAURANT_DENSITY,VIOLATION_RATE,CPI_TOTAL,THI,RATE_SCORE,RATE_TREND,TREND_SCORE,CPI_PRESSURE_SCORE,HOTSPOT_REPEAT_COUNT_3M,HOTSPOT_REPEAT_SCORE,CLIMATE_CAUTION_FLAG,FSIPI,FSIPI_GRADE,TARGET
2026-02,제주특별자치도,1.0,24251,0.0412354129726609,118.4,42.12641637472754,37.59590792838875,1.1577222971525818,82.22506393861893,93.60613810741688,0.0,0.0,0,51.16368286445013,3등급·관찰,0
2025-01,부산광역시,5.0,55922,0.0894102499910589,115.71,37.60077504162818,61.76470588235294,-0.47351982438096774,36.31713554987212,37.084398976982094,1.0,33.33333333333333,0,50.130008525149194,3등급·관찰,0
2024-06,경상북도,6.0,54980,0.1091305929428883,113.84,70.40797645934353,69.56521739130434,-0.3791541071868661,39.130434782608695,2.3017902813299234,1.0,33.33333333333333,1,49.76555839727196,3등급·관찰,0
2026-02,경기도,10.0,183285,0.054559838502878,118.4,42.12641637472754,47.82608695652174,-0.23656651659030226,46.80306905370844,93.60613810741688,0.0,0.0,0,49.70588235294118,3등급·관찰,0
2024-11,충청남도,3.0,42097,0.0712639855571656,114.4,51.50983011087168,53.70843989769821,2.1453242657627727,88.7468030690537,15.34526854219949,0.0,0.0,0,49.590792838874684,3등급·관찰,0
2024-10,경상북도,4.0,54980,0.0727537286285922,114.69,61.13916856106862,56.26598465473146,0.41453354612722115,71.0997442455243,28.388746803069054,0.0,0.0,0,49.42455242966753,3등급·관찰,0
2025-12,충청남도,2.0,42097,0.047509323704777,117.57,41.42148908059404,42.710997442455245,0.15967018526531335,65.98465473145781,84.91048593350384,0.0,0.0,0,49.42455242966752,3등급·관찰,0
2024-12,부산광역시,5.0,55922,0.0894102499910589,114.91,40.892561338146805,61.76470588235294,-0.5047856650372979,34.78260869565217,32.73657289002558,1.0,33.33333333333333,0,49.17092924126173,3등급·관찰,0
2025-05,서울특별시,11.0,138619,0.0793542010835455,116.27,61.52183005617762,57.8005115089514,-0.09718510628527653,52.42966751918159,45.78005115089514,0.0,0.0,0,49.14322250639387,3등급·관찰,0
2024-09,전라남도,3.0,37127,0.0808037277453066,114.65,74.58121856449478,58.31202046035806,-0.16510082294505213,50.63938618925832,24.04092071611253,1.0,33.33333333333333,1,49.138959931798816,3등급·관찰,0
2025-05,부산광역시,5.0,55922,0.0894102499910589,116.27,61.52183005617762,61.76470588235294,-0.6892997943651048,23.785166240409207,45.78005115089514,1.0,33.33333333333333,0,48.92796248934357,3등급·관찰,0
2025-02,경기도,13.0,183285,0.0709277900537414,116.08,38.141470081779424,53.32480818414322,-0.5482314206655835,32.73657289002558,41.432225063938624,2.0,66.66666666666666,0,48.75745950554135,3등급·관찰,0
2025-11,경기도,11.0,183285,0.0600158223531658,117.2,49.88159018896363,50.89514066496164,-0.2666740319494538,45.52429667519181,76.21483375959079,0.0,0.0,0,48.529411764705884,3등급·관찰,0
2024-07,울산광역시,2.0,19964,0.1001803245842516,114.13,77.3364558671032,66.62404092071611,-0.5769630205168051,31.202046035805626,10.997442455242968,1.0,33.33333333333333,1,47.86658141517477,3등급·관찰,0
2024-12,인천광역시,4.0,41726,0.095863490389685,114.91,40.892561338146805,66.11253196930946,-0.8348724476890109,15.34526854219949,32.73657289002558,1.0,33.33333333333333,0,47.67476555839727,3등급·관찰,0
2026-01,충청남도,2.0,42097,0.047509323704777,118.03,37.281032920297086,42.710997442455245,-0.12102273896242513,51.66240409207161,89.25831202046037,0.0,0.0,0,47.212276214833764,3등급·관찰,0
2024-07,인천광역시,3.0,41726,0.0718976177922638,114.13,77.3364558671032,54.47570332480819,0.7823665021958419,77.74936061381074,10.997442455242968,0.0,0.0,1,47.1611253196931,3등급·관찰,0
2024-08,강원특별자치도,4.0,43926,0.091062241041752,114.54,79.53516619543673,64.06649616368286,-0.3105946956637876,43.47826086956522,19.69309462915601,0.0,0.0,1,46.88618925831202,3등급·관찰,0
2025-06,경상남도,5.0,67454,0.0741245886085332,116.31,70.97058460731459,57.033248081841435,-0.4845016990868959,35.54987212276215,54.47570332480819,0.0,0.0,0,46.64961636828645,3등급·관찰,0
2025-04,경상남도,4.0,67454,0.0592996708868265,116.38,56.031464941879086,50.0,-0.7997301481985652,18.15856777493606,58.82352941176471,2.0,66.66666666666666,0,46.62190963341859,3등급·관찰,0
2024-05,경상남도,6.0,67454,0.0889495063302398,114.1,62.72419013774592,61.125319693094625,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,46.50895140664962,3등급·관찰,0
2025-10,경기도,11.0,183285,0.0600158223531658,117.42,62.1988525681886,50.89514066496164,-0.5649810081634107,31.9693094629156,80.56265984654732,0.0,0.0,1,46.470588235294116,3등급·관찰,0
2026-02,충청남도,2.0,42097,0.047509323704777,118.4,42.12641637472754,42.710997442455245,-0.29231475283326164,44.50127877237852,93.60613810741688,0.0,0.0,0,46.432225063938624,3등급·관찰,0
